Number Owned,Card Name,Premium,Set Number,Card Number
4,Claw of the First Dragon,No,1,59
4,Steelbound Dragon,No,1,60
1,"Kaleb, Uncrowned Prince",No,1,61
4,Lavablood Goliath,No,1,62
4,Sand Warrior,No,1,64
4,Copper Conduit,No,1,66
5,Infinite Hourglass,No,1,67
1,Infinite Hourglass,Yes,1,67
5,Water of Life,No,1,68
2,Water of Life,Yes,1,68
5,Ornamental Daggers,No,1,69
1,Ornamental Daggers,Yes,1,69
6,Slow,No,1,70
1,Slow,Yes,1,70
4,Excavate,No,1,71
5,Humbug,No,1,72
2,Humbug,Yes,1,72
4,Sanctuary Priest,No,1,73
1,Sanctuary Priest,Yes,1,73
4,Initiate of the Sands,No,1,74
6,Predator's Instinct,No,1,75
4,Unlock Potential,No,1,76
1,Unlock Potential,Yes,1,76
5,Bold Adventurer,No,1,77
4,Voice of the Speaker,No,1,78
4,Twinning Ritual,No,1,79
1,Twinning Ritual,Yes,1,79
4,Teleport,No,1,80
1,Teleport,Yes,1,80
4,Secret Pages,No,1,81
1,Secret Pages,Yes,1,81
4,Friendly Wisp,No,1,82
4,Sauropod Wrangler,No,1,83
4,Sauropod Wrangler,Yes,1,83
4,Ephemeral Wisp,No,1,84
5,Accelerate,No,1,85
1,Accelerate,Yes,1,85
4,Dawnwalker,No,1,86
4,Synchronized Strike,No,1,88
5,Dune Phantom,No,1,89
4,Ageless Mentor,No,1,90
5,Dispel,No,1,91
2,Dispel,Yes,1,91
4,Determined Stranger,No,1,92
4,Amber Acolyte,No,1,93
4,Amber Acolyte,Yes,1,93
4,Clockroach,No,1,94
4,Clockroach,No,1,94
5,Decay,No,1,95
4,Scorpion Wasp,No,1,96
4,Steward of Prophecy,No,1,97
4,Healer's Cloak,No,1,98
4,Sandstorm Titan,No,1,99
5,Praxis Displacer,No,1,100
1,Praxis Displacer,Yes,1,100
5,Towertop Patrol,No,1,101
1,Towertop Patrol,Yes,1,101
4,Xenan Guardian,No,1,102
4,Xenan Obelisk,No,1,103
4,Marisen's Disciple,No,1,104
5,Ancient Lore,No,1,105
1,Idol of Destran,No,1,107
4,Elysian Pathfinder,No,1,108
4,Divining Rod,No,1,109
4,Reliquary Raider,No,1,110
4,Merciless Stranger,No,1,111
4,Striking Snake Formation,No,1,112
4,Twinbrood Sauropod,No,1,113
5,Towering Terrazon,No,1,114
3,Towering Terrazon,Yes,1,114
5,Lumen Defender,No,1,115
4,Mystic Ascendant,No,1,116
4,Mystic Ascendant,No,1,116
4,Mystic Ascendant,Yes,1,116
5,Lumen Shepherd,No,1,117
2,Lumen Shepherd,Yes,1,117
4,Predatory Carnosaur,No,1,118
2,Ancient Terrazon,No,1,119
5,Dormant Sentinel,No,1,120
2,Hall of Lost Kings,No,1,121
4,Pillar of Amar,No,1,122
1,Pillar of Amar,Yes,1,122
1,"Marisen, the Eldest",Yes,1,123
4,"Talir, Who Sees Beyond",No,1,124
5,Gilded Glaive,No,1,125
4,Valkyrie Aspirant,No,1,127
1,Valkyrie Aspirant,Yes,1,127
4,Elder's Feather,No,1,128
5,Inspire,No,1,129
1,Inspire,Yes,1,129
4,Finest Hour,No,1,130
4,Finest Hour,No,1,130
4,Finest Hour,Yes,1,130
4,Finest Hour,Yes,1,130
4,Tinker Apprentice,No,1,131
1,Tinker Apprentice,Yes,1,131
5,Protect,No,1,132
5,Detain,No,1,133
4,District Infantry,No,1,134
5,Argenport Soldier,No,1,135
1,Argenport Soldier,Yes,1,135
5,Reinforce,No,1,136
2,Reinforce,Yes,1,136
4,Minotaur Grunt,No,1,137
4,Minotaur Grunt,Yes,1,137
4,Tinker Overseer,No,1,138
4,Tinker Overseer,Yes,1,138
4,Crownwatch Paladin,No,1,139
4,Crownwatch Paladin,Yes,1,139
4,Paladin Oathbook,No,1,140
1,Paladin Oathbook,Yes,1,140
5,Rebuke,No,1,141
3,Rebuke,Yes,1,141
4,Crownwatch Longsword,No,1,142
2,Crownwatch Longsword,Yes,1,142
4,Vanquish,No,1,143
4,Eager Owlet,No,1,144
5,Valorous Stranger,No,1,145
1,Valorous Stranger,Yes,1,145
5,Auric Sentry,No,1,146
1,Auric Sentry,Yes,1,146
4,Brightmace Paladin,No,1,147
1,Brightmace Paladin,Yes,1,147
4,Bronze Cuirass,No,1,148
4,Order of the Spire,No,1,149
5,Loyal Watchwing,No,1,150
1,Loyal Watchwing,Yes,1,150
4,Valkyrie Enforcer,No,1,151
4,Valkyrie Enforcer,No,1,151
4,Valkyrie Enforcer,Yes,1,151
4,Silverwing Familiar,No,1,152
5,Emerald Acolyte,No,1,153
2,Emerald Acolyte,Yes,1,153
4,Spire Chaplain,No,1,154
4,Hooru Envoy,No,1,155
5,Hero of the People,No,1,156
1,Hero of the People,Yes,1,156
4,Privilege of Rank,No,1,157
1,Privilege of Rank,Yes,1,157
4,Copperhall Recruit,No,1,158
3,Copperhall Recruit,Yes,1,158
4,Hooru Fledgling,No,1,159
2,Hooru Fledgling,Yes,1,159
4,Combrei Magister,No,1,160
4,Stalwart Shield,No,1,162
1,Stalwart Shield,Yes,1,162
4,Armorsmith,No,1,163
4,Treasury Gate,No,1,164
4,Mark of Shame,No,1,165
4,Auric Runehammer,No,1,166
4,Silverwing Avenger,No,1,167
3,Copperhall Blessing,No,1,168
4,Crownwatch Cavalry,No,1,169
4,Hammer of Might,No,1,170
4,Mithril Mace,No,1,171
2,Mithril Mace,Yes,1,171
4,Harsh Rule,No,1,172
4,Marshal Ironthorn,No,1,174
4,Silverwing Commander,No,1,175
4,Fourth-Tree Elder,No,1,176
2,Fourth-Tree Elder,Yes,1,176
1,Plated Demolisher,No,1,177
4,Ceremonial Mask,No,1,178
1,Ceremonial Mask,Yes,1,178
4,Civic Peacekeeper,No,1,180
1,Civic Peacekeeper,Yes,1,180
4,Valkyrie Wings,No,1,181
2,Augmented Form,No,1,182
4,Rolant's Honor Guard,No,1,183
5,Flight Lieutenant,No,1,184
2,"Rolant, the Iron Fist",No,1,185
4,Trail Stories,No,1,188
5,Unstable Form,No,1,189
1,Unstable Form,Yes,1,189
4,Levitate,No,1,190
1,Levitate,Yes,1,190
4,Yeti Spy,No,1,191
1,Yeti Spy,Yes,1,191
4,Blind Storyteller,No,1,192
1,Blind Storyteller,Yes,1,192
5,Permafrost,No,1,193
4,Permafrost,Yes,1,193
5,Static Bolt,No,1,194
3,Static Bolt,Yes,1,194
4,Wild Cloudsnake,No,1,195
4,Herald's Song,No,1,196
1,Herald's Song,Yes,1,196
4,Lightning Strike,No,1,197
2,Lightning Strike,Yes,1,197
4,Cloudsnake Saddle,No,1,199
4,Backlash,No,1,200
2,Backlash,Yes,1,200
4,East-Wind Herald,No,1,201
4,Whispering Wind,No,1,202
4,Yeti Snowslinger,No,1,203
1,Yeti Snowslinger,Yes,1,203
4,Tundra Explorer,No,1,204
1,Tundra Explorer,Yes,1,204
5,Violent Gust,No,1,205
5,Lightning Storm,No,1,206
4,Second Sight,No,1,207
1,Second Sight,Yes,1,207
5,Skysnapper,No,1,208
1,Skysnapper,Yes,1,208
4,Flash Freeze,No,1,209
4,Eye of Winter,No,1,210
4,Polymorph,No,1,211
5,Cobalt Acolyte,No,1,212
4,Scheme,No,1,213
1,Scheme,Yes,1,213
4,Ice Sprite,No,1,214
4,Scaly Gruan,No,1,215
2,Scaly Gruan,Yes,1,215
4,Icebreaker,No,1,216
1,Icebreaker,Yes,1,216
4,Mirror Image,No,1,217
1,Mirror Image,Yes,1,217
4,Wisdom of the Elders,No,1,218
4,Wisdom of the Elders,Yes,1,218
5,Serpent Trainer,No,1,219
4,Serpent Trainer,Yes,1,219
5,Jarrall's Frostkin,No,1,220
1,Jarrall's Frostkin,Yes,1,220
4,Rain of Frogs,No,1,221
5,Yeti Troublemaker,No,1,222
4,Deranged Dinomancer,No,1,223
5,Stormcaller,No,1,224
1,Stormcaller,Yes,1,224
4,Nesting Avisaur,No,1,225
4,Jotun Warrior,No,1,226
1,Jotun Warrior,Yes,1,226
4,Jotun Hurler,No,1,227
1,Jotun Hurler,Yes,1,227
4,Elysian Trailblazer,No,1,228
1,Elysian Trailblazer,Yes,1,228
4,Soaring Stranger,No,1,229
5,Windshaper,No,1,230
1,Windshaper,Yes,1,230
4,West-Wind Herald,No,1,231
4,Crystallize,No,1,232
1,Magus of the Mist,No,1,233
4,Staff of Stories,No,1,234
5,Aerial Ace,No,1,235
4,Sapphire Dragon,No,1,236
4,Hatchery Hunter,No,1,237
4,Araktodon,No,1,238
1,Jarrall Iceheart,No,1,239
4,North-Wind Herald,No,1,240
3,North-Wind Herald,Yes,1,240
4,Celestial Omen,No,1,241
4,Mistveil Drake,No,1,242
4,Thunderstrike Dragon,No,1,243
4,Channel the Tempest,No,1,244
4,Channel the Tempest,No,1,244
1,Channel the Tempest,Yes,1,244
2,"Eilyn, Queen of the Wilds",No,1,245
1,Rimescale Draconus,No,1,246
4,Skycrag Wyvarch,No,1,247
4,Scourge of Frosthome,No,1,248
4,Dark Return,No,1,250
4,Dark Return,No,1,250
4,Dark Return,Yes,1,250
4,Dark Return,Yes,1,250
4,Suffocate,No,1,251
5,Sabotage,No,1,252
1,Sabotage,Yes,1,252
4,Hair-Trigger Stranger,No,1,253
4,Pilfer,No,1,254
3,Pilfer,Yes,1,254
4,Slumbering Stone,No,1,255
4,Direfang Spider,No,1,256
4,Knifejack,No,1,257
4,Ghostform,No,1,258
1,Ghostform,Yes,1,258
4,Rapid Shot,No,1,259
4,Rapid Shot,Yes,1,259
4,Blood Beetle,No,1,260
6,Devour,No,1,261
2,Devour,Yes,1,261
4,Sporefolk,No,1,262
5,Venomfang Dagger,No,1,263
3,Venomfang Dagger,Yes,1,263
4,Dark Wisp,No,1,264
4,Dark Wisp,Yes,1,264
4,Scavenging Vulture,No,1,265
5,Blackguard Sidearm,No,1,266
1,Blackguard Sidearm,Yes,1,266
4,Madness,No,1,267
4,Argenport Instigator,No,1,268
5,Annihilate,No,1,269
4,Annihilate,Yes,1,269
4,Lethrai Ranger,No,1,270
1,Lethrai Ranger,Yes,1,270
4,Direwood Beastcaller,No,1,271
4,Torrent of Spiders,No,1,272
4,Desperado,No,1,273
4,Plague,No,1,274
2,Plague,Yes,1,274
4,Lifedrinker,No,1,275
1,Lifedrinker,Yes,1,275
5,Amethyst Acolyte,No,1,276
1,Amethyst Acolyte,Yes,1,276
4,Execute,No,1,277
4,Ravenous Thornbeast,No,1,278
3,Ravenous Thornbeast,Yes,1,278
4,Lethrai Nightblade,No,1,279
1,Lethrai Nightblade,Yes,1,279
4,Shadowlands Guide,No,1,280
5,Xenan Destroyer,No,1,281
2,Xenan Destroyer,Yes,1,281
5,Beastcaller's Amulet,No,1,282
4,Cabal Recruiter,No,1,283
4,Back-Alley Bouncer,No,1,284
4,Lethrai Falchion,No,1,285
4,Impending Doom,No,1,286
4,Steward of the Past,No,1,287
1,Steward of the Past,Yes,1,287
5,Stonescar Magus,No,1,288
4,Subvert,No,1,289
4,Deathstrike,No,1,290
1,Deathstrike,Yes,1,290
4,Soul Collector,No,1,291
4,Grasping at Shadows,No,1,292
4,Lurking Sanguar,No,1,293
4,Oblivion Spike,No,1,294
4,"Ashara, the Deadshot",No,1,295
5,Cabal Cutthroat,No,1,297
4,Umbren Reaper,No,1,299
1,Umbren Reaper,Yes,1,299
4,Argenport Ringmaster,No,1,300
4,Argenport Ringmaster,No,1,300
4,Direwood Rampager,No,1,301
5,Spirit Drain,No,1,302
4,Whispers in the Void,No,1,303
4,Horsesnatcher Bat,No,1,304
1,Venomspine Hydra,No,1,305
4,Azindel's Gift,No,1,306
4,"Vara, Fate-Touched",No,1,307
1,Touch of the Umbren,No,1,308
4,The Last Word,No,1,309
4,The Witching Hour,No,1,310
4,Fearless Nomad,No,1,311
4,Rakano Artisan,No,1,312
4,Champion of Glory,No,1,314
4,Sword of Icaria,No,1,315
1,Sword of Icaria,Yes,1,315
6,Crownwatch Deserter,No,1,316
1,Crownwatch Deserter,Yes,1,316
4,Deepforged Plate,No,1,317
6,Longhorn Sergeant,No,1,318
4,Battleblur Centaur,No,1,319
3,Rise to the Challenge,No,1,320
4,Renegade Valkyrie,No,1,321
4,Righteous Fury,No,1,322
1,"Navani, Warsinger",No,1,323
4,Field Captain,No,1,324
1,"Ijin, Imperial Armorer",No,1,326
4,Ferocious Stranger,No,1,327
2,Ferocious Stranger,Yes,1,327
1,Starsteel Daisho,No,1,328
4,"Icaria, the Liberator",No,1,329
5,Safe Return,No,1,330
4,Awakened Student,No,1,331
1,Awakened Student,Yes,1,331
4,Desert Marshal,No,1,332
5,Combrei Healer,No,1,333
4,Stand Together,No,1,334
2,Knight-Chancellor Siraf,No,1,335
4,Vodakhan's Staff,No,1,336
3,Enlightened Stranger,No,1,337
1,The Great Parliament,No,1,338
4,Stronghold's Visage,No,1,339
4,Copperhall Elite,No,1,340
5,Karmic Guardian,No,1,341
3,Reality Warden,No,1,343
4,Champion of Progress,No,1,345
4,Minotaur Ambassador,No,1,346
1,Minotaur Ambassador,Yes,1,346
4,"Vodakhan, Temple Speaker",No,1,347
4,A New Tomorrow,No,1,348
4,Call the Ancients,No,1,350
4,Accelerated Evolution,No,1,351
6,Storm Lynx,No,1,353
4,Pteriax Hatchling,No,1,354
1,Pteriax Hatchling,Yes,1,354
4,Crown of Possibilities,No,1,355
4,False Prince,No,1,356
5,Amaran Camel,No,1,357
4,Champion of Wisdom,No,1,358
4,Crystalline Chalice,No,1,359
4,Psionic Savant,No,1,360
2,Psionic Savant,Yes,1,360
4,Explorer Emeritus,No,1,361
1,"Cirso, the Great Glutton",No,1,362
4,Hunting Pteriax,No,1,363
4,Fortunate Stranger,No,1,364
1,Shimmerpack,No,1,365
2,"Curiox, the Collector",No,1,366
1,Strength of the Pack,No,1,367
4,Withering Witch,No,1,368
4,Trickster's Cloak,No,1,369
1,Trickster's Cloak,Yes,1,369
4,Champion of Cunning,No,1,371
1,Champion of Cunning,Yes,1,371
4,Grim Stranger,No,1,372
4,Spell Swipe,No,1,373
4,Haunting Scream,No,1,374
4,Gorgon Fanatic,No,1,375
4,Gorgon Swiftblade,No,1,377
1,Gorgon Swiftblade,Yes,1,377
4,Midnight Gale,No,1,378
4,Twilight Raptor,No,1,379
2,Twilight Raptor,Yes,1,379
4,Feln Cauldron,No,1,380
4,Feeding Time,No,1,381
4,Recurring Nightmare,No,1,382
1,Snowcrush Animist,No,1,384
4,Black-Sky Harbinger,No,1,385
4,Feln Bloodcaster,No,1,386
4,Statuary Maiden,No,1,387
4,Black Iron Manacles,No,1,388
1,Black Iron Manacles,Yes,1,388
4,Bandit Queen,No,1,389
4,Infernal Tyrant,No,1,390
4,Scraptank,No,1,391
4,Combust,No,1,392
5,Treachery,No,1,394
2,Treachery,Yes,1,394
4,Warband Chieftain,No,1,395
5,Smuggler's Stash,No,1,396
4,Bloodrite Kalis,No,1,397
4,Obsidian Golem,No,1,398
4,Brimstone Altar,No,1,399
2,"Voprex, the Great Ruin",No,1,400
4,Champion of Chaos,No,1,402
2,Stonescar Leviathan,No,1,403
4,Runic Revolver,No,1,404
1,Runic Revolver,Yes,1,404
4,Spiked Helm,No,1,406
4,Worn Shield,No,1,407
3,Worn Shield,Yes,1,407
4,Seek Power,No,1,408
2,Seek Power,No,1,408
2,Seek Power,Yes,1,408
5,Feln Stranger,No,1,409
1,Feln Stranger,Yes,1,409
5,Combrei Stranger,No,1,410
4,Rakano Stranger,No,1,411
1,Rakano Stranger,Yes,1,411
7,Elysian Stranger,No,1,412
4,Stonescar Stranger,No,1,413
1,Stonescar Stranger,Yes,1,413
4,Daze,No,1,414
3,Daze,Yes,1,414
6,Alchemical Blast,No,1,415
6,Forsworn Stranger,No,1,416
4,Feln Banner,No,1,417
5,Cobalt Monument,No,1,418
4,Stonescar Banner,No,1,419
4,Amber Monument,No,1,420
5,Elysian Banner,No,1,421
6,Emerald Monument,No,1,422
4,Granite Monument,No,1,423
5,Combrei Banner,No,1,424
4,Diplomatic Seal,No,1,425
4,Amethyst Monument,No,1,426
4,Rakano Banner,No,1,427
4,Vault of the Praxis,No,1,480
4,Scouting Party,No,1,488
4,Refresh,No,1,501
5,Temple Scribe,No,1,502
4,Temple Scribe,Yes,1,502
5,Horned Vorlunk,No,1,503
4,Steadfast Deputy,No,1,504
1,Steadfast Deputy,Yes,1,504
4,Treasury Guard,No,1,505
4,Cabal Countess,No,1,506
4,Morningstar,No,1,510
1,"Wump, Party Starter",No,1,511
4,"Wump, Party Starter",No,1,511
4,"Wump, Party Starter",Yes,1,511
4,Fevered Scout,No,1,512
4,Find the Way,No,1,513
5,Throne Warden,No,1,514
5,Xenan Cultist,No,1,516
4,Borderlands Waykeeper,No,1,517
4,"Azindel, the Wayfinder",No,1,518
1,"Rilgon, Hooru Operative",No,1,519
1,Arcanum Monitor,No,1,520
1,Alpine Tracker,No,1,522
4,Firemane Cub,No,2,1
1,Firemane Cub,Yes,2,1
4,Forge Wolf,No,2,2
1,Forge Wolf,Yes,2,2
6,Young Gun,No,2,3
4,Hidden Shiv,No,2,4
1,Hidden Shiv,Yes,2,4
4,On the Hunt,No,2,5
4,Pummel,No,2,6
4,Pummel,Yes,2,6
4,Blinkwolf,No,2,7
2,Blinkwolf,Yes,2,7
4,Smith's Hammer,No,2,8
1,Smith's Hammer,Yes,2,8
4,Granite Ring,No,2,9
4,Granite Ring,Yes,2,9
4,Grenade,No,2,10
4,Hipshot,No,2,11
4,Jawbone Hatchet,No,2,12
5,Sparkbot,No,2,13
1,Sparkbot,Yes,2,13
4,Stonescar Excavator,No,2,14
5,Stoneshaker,No,2,15
2,Stoneshaker,Yes,2,15
4,Twinbarrel,No,2,16
5,Audacious Bandit,No,2,17
4,Outlands Brute,No,2,18
1,Outlands Brute,Yes,2,18
5,Dustblind,No,2,19
1,Dustblind,Yes,2,19
5,Grenadin Cannoneer,No,2,20
1,Grenadin Cannoneer,Yes,2,20
4,Groundbreaker,No,2,21
1,Groundbreaker,Yes,2,21
4,Library Phoenix,No,2,22
1,Library Phoenix,Yes,2,22
4,Reforge,No,2,23
5,Swift Stranger,No,2,24
4,Thunderhoof Warrior,No,2,25
2,Thunderhoof Warrior,Yes,2,25
4,Gun Down,No,2,26
1,Gun Down,Yes,2,26
4,Pit Fighter,No,2,27
2,Pit Fighter,Yes,2,27
3,Pouncing Drake,No,2,28
4,Stonepowder Heretic,No,2,29
1,Bad News,No,2,30
4,Cannonbearer,No,2,31
2,Cannonbearer,Yes,2,31
4,Flamestoker,No,2,32
4,Burning Glaive,No,2,33
4,"Sindok, Rage Incarnate",No,2,34
4,Cult Aspirant,No,2,35
4,Envelop,No,2,36
2,Envelop,Yes,2,36
4,Excavation Assistant,No,2,37
4,Excavation Assistant,Yes,2,37
4,Wandering Wisp,No,2,38
4,Trail Runner,No,2,39
4,Forgotten Find,No,2,40
5,Oasis Seeker,No,2,41
5,Sand Viper,No,2,42
1,Sand Viper,Yes,2,42
4,Sandstorm,No,2,43
1,Sandstorm,Yes,2,43
4,Xenan Initiation,No,2,44
1,Xenan Initiation,Yes,2,44
4,Amber Ring,No,2,45
4,Amber Ring,Yes,2,45
4,Avirax Familiar,No,2,46
6,Disciplined Amanera,No,2,47
4,"Evelina, Valley Searcher",No,2,48
4,"Evelina, Valley Searcher",No,2,48
4,"Evelina, Valley Searcher",Yes,2,48
4,Shepherd's Horn,No,2,49
2,Shepherd's Horn,Yes,2,49
5,Archive Curator,No,2,50
5,Bolster,No,2,51
1,Bolster,Yes,2,51
4,Camp Physician,No,2,52
1,Camp Physician,Yes,2,52
4,Snapping Brushstalker,No,2,53
1,Snapping Brushstalker,Yes,2,53
4,Striped Araktodon,No,2,54
1,Striped Araktodon,Yes,2,54
4,Viper's Bite,No,2,55
2,Viper's Bite,Yes,2,55
5,Amaran Archaeologist,No,2,56
1,Amaran Archaeologist,Yes,2,56
4,Awakened Sentinel,No,2,57
5,Battle-Tested Stranger,No,2,58
4,Beckoning Lumen,No,2,59
5,Humbug Swarm,No,2,60
4,Pack Hunt,No,2,61
4,Time Weaver,No,2,62
4,Waystone Infuser,No,2,63
4,Plated Goliath,No,2,64
2,Plated Goliath,Yes,2,64
3,Sentinel's Might,No,2,65
5,Voyaging Lumen,No,2,66
1,Voyaging Lumen,Yes,2,66
1,Rhinarc Huntpack,No,2,67
4,Belching Behemoth,No,2,68
4,Crownwatch Squire,No,2,69
4,Minotaur Oathkeeper,No,2,70
1,Minotaur Oathkeeper,Yes,2,70
4,Copperhall Herald,No,2,71
1,Copperhall Herald,Yes,2,71
4,Stalwart Silverwing,No,2,72
4,Strength of Many,No,2,73
5,Talon of Nostrix,No,2,74
5,Tinker,No,2,75
4,Tinker,Yes,2,75
5,Tranquil Scholar,No,2,76
1,Tranquil Scholar,Yes,2,76
5,Sparring Partner,No,2,77
1,Sparring Partner,Yes,2,77
4,Copperhall Cudgel,No,2,78
1,Copperhall Cudgel,Yes,2,78
4,Copperhall Shieldman,No,2,79
5,Emerald Ring,No,2,80
4,Emerald Ring,Yes,2,80
5,Fencing Master,No,2,81
5,Highbranch Sentry,No,2,82
1,Highbranch Sentry,Yes,2,82
4,Spirit Guide,No,2,83
4,Tireless Stranger,No,2,84
1,Tireless Stranger,Yes,2,84
4,Shard of the Spire,No,2,85
4,Peacekeeper's Prod,No,2,86
4,Rabblerouser,No,2,87
4,Spiked Buckler,No,2,88
2,Spiked Buckler,Yes,2,88
5,Valkyrie Militant,No,2,89
1,Valkyrie Militant,Yes,2,89
4,Valkyrie Spireguard,No,2,90
2,Valkyrie Spireguard,Yes,2,90
4,Victor's Cry,No,2,91
4,Crownwatch Press-Gang,No,2,92
4,Minotaur Duelist,No,2,93
4,Scepter of Nobility,No,2,94
4,Aerialist's Khopesh,No,2,95
4,Horngrinder,No,2,96
4,Prosecutor-at-Arms,No,2,97
1,Rolant's Fist,No,2,98
5,Roosting Owl,No,2,99
1,Roosting Owl,Yes,2,99
4,Leave a Witness,No,2,100
4,"Elias, the Broken Wing",No,2,101
4,Valkyrie Linebreaker,No,2,102
6,Cloudsnake Hatchling,No,2,103
2,Cloudsnake Hatchling,Yes,2,103
4,Hearty Stranger,No,2,104
4,Snowcrust Yeti,No,2,105
4,Weather the Storm,No,2,106
4,Cloudsnake Breeder,No,2,107
4,Dragonbreath,No,2,108
4,Maelstrom Bell,No,2,109
4,Mating Call,No,2,110
4,Trailblaze,No,2,111
4,Trailblaze,Yes,2,111
4,Talon Dive,No,2,112
1,Talon Dive,Yes,2,112
4,Yeti Snowchucker,No,2,113
2,Yeti Snowchucker,Yes,2,113
4,Cloudsnake Harrier,No,2,114
4,Cloudsnake Harrier,No,2,114
1,Cloudsnake Harrier,Yes,2,114
4,Cobalt Ring,No,2,115
4,Cobalt Ring,Yes,2,115
4,Crafty Yeti,No,2,116
2,Crafty Yeti,Yes,2,116
4,Foothills Alpha,No,2,117
5,Icebow,No,2,118
1,Icebow,Yes,2,118
4,Mind Link,No,2,119
5,Skyrider Vanguard,No,2,120
2,Skyrider Vanguard,Yes,2,120
4,Stormcrasher,No,2,121
1,Stormcrasher,Yes,2,121
4,Jotun Cyclops,No,2,122
2,Jotun Cyclops,Yes,2,122
6,Ridgeline Watcher,No,2,123
1,Ridgeline Watcher,Yes,2,123
4,Serpent Mount,No,2,124
4,Skyward Seer,No,2,125
4,"Torgov, Icecap Trader",No,2,126
1,Pearlescent Drake,No,2,127
4,Skywalk Instructor,No,2,128
5,Swindle,No,2,129
4,Swindle,Yes,2,129
2,Watcher of the Big Ones,No,2,130
4,Boltcrafter Shaman,No,2,131
4,Cirso's Meddling,No,2,132
4,Iceknuckle Jotun,No,2,133
1,Iceknuckle Jotun,Yes,2,133
4,Lumbering Gruan,No,2,134
1,Lumbering Gruan,Yes,2,134
4,Adaptive Predator,No,2,135
1,Adaptive Predator,Yes,2,135
4,Icequake,No,2,136
4,Brash Shorthorn,No,2,137
5,Fallen Oni,No,2,138
4,Jack's Knife,No,2,139
4,Swear Vengeance,No,2,140
5,Tock Tick,No,2,141
6,Longshot Marksman,No,2,142
4,Piercing Grief,No,2,143
4,Scare,No,2,144
5,Threaten,No,2,145
2,Threaten,Yes,2,145
